a/an,"{{tts en_US:a/an}}
【等級】Level 1
【翻譯】一個（用於單數可數名詞前）
【搭配詞】a book / an apple / a good idea
【例句】I saw a bird in the park.
{{tts en_US:I saw a bird in the park.}}
【用法說明】a/an + 單數可數名詞
【翻譯】我在公園看到一隻鳥。"
abandon,"{{tts en_US:abandon}}
【等級】Level 4
【翻譯】放棄；拋棄
【搭配詞】abandon the plan / abandon hope / abandon a project
【例句】He decided to abandon the plan.
{{tts en_US:He decided to abandon the plan.}}
【用法說明】abandon + 名詞（plan / idea / project）
【翻譯】他決定放棄這個計畫。"
abbreviate,"{{tts en_US:abbreviate}}
【等級】Level 6
【翻譯】縮寫；簡化
【搭配詞】abbreviate a word / abbreviate a name / be abbreviated as
【例句】We usually abbreviate this word in text messages.
{{tts en_US:We usually abbreviate this word in text messages.}}
【用法說明】abbreviate + 名詞
【翻譯】我們在簡訊裡通常會縮寫這個字。"
abide,"{{tts en_US:abide}}
【等級】Level 6
【翻譯】遵守；忍受
【搭配詞】abide by the rules / abide by the decision / cannot abide
【例句】You must abide by the rules.
{{tts en_US:You must abide by the rules.}}
【用法說明】abide by + 規則／決定
【翻譯】你必須遵守這些規定。"
ability,"{{tts en_US:ability}}
【等級】Level 1
【翻譯】能力；本事
【搭配詞】have the ability to / show ability / natural ability
【例句】She has the ability to solve problems fast.
{{tts en_US:She has the ability to solve problems fast.}}
【用法說明】ability to + 原形動詞
【翻譯】她有快速解決問題的能力。"
able,"{{tts en_US:able}}
【等級】Level 1
【翻譯】能夠的；有能力的
【搭配詞】be able to / able to help / able to finish
【例句】I'm able to finish the job today.
{{tts en_US:I'm able to finish the job today.}}
【用法說明】be able to + 原形動詞
【翻譯】我今天能完成這份工作。"
abnormal,"{{tts en_US:abnormal}}
【等級】Level 5
【翻譯】不正常的；反常的
【搭配詞】abnormal result / abnormal behavior / abnormal growth
【例句】The test results were abnormal.
{{tts en_US:The test results were abnormal.}}
【用法說明】abnormal 常用來描述結果、狀況、行為
【翻譯】檢查結果不正常。"
aboard,"{{tts en_US:aboard}}
【等級】Level 3
【翻譯】在船上；在車上；上（交通工具）
【搭配詞】go aboard / come aboard / aboard the train
【例句】All passengers are now aboard the train.
{{tts en_US:All passengers are now aboard the train.}}
【用法說明】aboard 常用於交通工具上
【翻譯】所有乘客現在都已上車。"
abolish,"{{tts en_US:abolish}}
【等級】Level 5
【翻譯】廢除；取消
【搭配詞】abolish a law / abolish slavery / abolish the system
【例句】The government plans to abolish the old law.
{{tts en_US:The government plans to abolish the old law.}}
【用法說明】abolish + 法律／制度
【翻譯】政府計畫廢除這條舊法律。"
aboriginal,"{{tts en_US:aboriginal}}
【等級】Level 6
【翻譯】原住民的；原住民族的
【搭配詞】Aboriginal culture / Aboriginal art / Aboriginal people
【例句】The museum has a collection of Aboriginal art.
{{tts en_US:The museum has a collection of Aboriginal art.}}
【用法說明】Aboriginal 常描述原住民族相關事物
【翻譯】這家博物館收藏了原住民族藝術。"
abortion,"{{tts en_US:abortion}}
【等級】Level 5
【翻譯】墮胎；中止妊娠
【搭配詞】have an abortion / abortion rights / abortion law
【例句】The debate over abortion continues in many countries.
{{tts en_US:The debate over abortion continues in many countries.}}
【用法說明】abortion 常用於社會／法律議題
【翻譯】許多國家仍持續討論墮胎議題。"
abound,"{{tts en_US:abound}}
【等級】Level 6
【翻譯】大量存在；充滿
【搭配詞】abound in fish / abound with life / opportunities abound
【例句】Wild flowers abound in this area in spring.
{{tts en_US:Wild flowers abound in this area in spring.}}
【用法說明】abound in + 地方／事物
【翻譯】春天時這一帶野花很多。"
about,"{{tts en_US:about}}
【等級】Level 1
【翻譯】關於；大約
【搭配詞】talk about / think about / about ten minutes
【例句】We talked about the movie after dinner.
{{tts en_US:We talked about the movie after dinner.}}
【用法說明】talk about + 主題
【翻譯】晚餐後我們聊了那部電影。"
above,"{{tts en_US:above}}
【等級】Level 1
【翻譯】在上方；高於
【搭配詞】above the door / rise above / above average
【例句】The picture hangs above the sofa.
{{tts en_US:The picture hangs above the sofa.}}
【用法說明】above + 名詞，表示在上方
【翻譯】那幅畫掛在沙發上方。"
abroad,"{{tts en_US:abroad}}
【等級】Level 1
【翻譯】在國外；到國外
【搭配詞】study abroad / live abroad / travel abroad
【例句】She studied abroad for a year.
{{tts en_US:She studied abroad for a year.}}
【用法說明】study / live / work abroad
【翻譯】她曾在國外留學一年。"
abrupt,"{{tts en_US:abrupt}}
【等級】Level 5
【翻譯】突然的；唐突的
【搭配詞】abrupt end / abrupt change / abrupt stop
【例句】The meeting came to an abrupt end.
{{tts en_US:The meeting came to an abrupt end.}}
【用法說明】abrupt 常用於 end / change / stop
【翻譯】會議突然結束了。"
absence,"{{tts en_US:absence}}
【等級】Level 2
【翻譯】缺席；不在
【搭配詞】in the absence of / absence from school / long absence
【例句】Her absence was noticed right away.
{{tts en_US:Her absence was noticed right away.}}
【用法說明】absence 常表示缺席／不在場
【翻譯】大家立刻注意到她缺席了。"
absent,"{{tts en_US:absent}}
【等級】Level 2
【翻譯】缺席的；不在的
【搭配詞】be absent from / absent-minded / absent student
【例句】He was absent from school yesterday.
{{tts en_US:He was absent from school yesterday.}}
【用法說明】be absent from + 地點／活動
【翻譯】他昨天沒有到學校。"
absolute,"{{tts en_US:absolute}}
【等級】Level 4
【翻譯】絕對的；完全的
【搭配詞】absolute silence / absolute power / absolute truth
【例句】I need absolute silence to work.
{{tts en_US:I need absolute silence to work.}}
【用法說明】absolute + 名詞，表示完全的
【翻譯】我工作時需要絕對安靜。"
absorb,"{{tts en_US:absorb}}
【等級】Level 4
【翻譯】吸收；吸引；承受
【搭配詞】absorb water / absorb information / absorb the cost
【例句】Plants absorb water through their roots.
{{tts en_US:Plants absorb water through their roots.}}
【用法說明】absorb + 液體／資訊／衝擊
【翻譯】植物透過根部吸收水分。"
abstract,"{{tts en_US:abstract}}
【等級】Level 4
【翻譯】抽象的；摘要
【搭配詞】abstract idea / abstract art / write an abstract
【例句】The idea is too abstract for young children.
{{tts en_US:The idea is too abstract for young children.}}
【用法說明】abstract 常描述概念、想法
【翻譯】這個概念對小孩來說太抽象了。"
abstraction,"{{tts en_US:abstraction}}
【等級】Level 6
【翻譯】抽象概念；抽象化
【搭配詞】level of abstraction / pure abstraction / abstraction in art
【例句】Freedom is an abstraction for some people.
{{tts en_US:Freedom is an abstraction for some people.}}
【用法說明】abstraction 常指抽象概念
【翻譯】對某些人來說，自由是一種抽象概念。"
absurd,"{{tts en_US:absurd}}
【等級】Level 5
【翻譯】荒謬的；可笑的
【搭配詞】absurd idea / absurd claim / sound absurd
【例句】It would be absurd to ignore the warning.
{{tts en_US:It would be absurd to ignore the warning.}}
【用法說明】It is absurd to + 原形動詞
【翻譯】忽視這個警告太荒謬了。"
abundance,"{{tts en_US:abundance}}
【等級】Level 6
【翻譯】大量；豐富
【搭配詞】an abundance of food / abundance of choice / in abundance
【例句】The garden has an abundance of roses.
{{tts en_US:The garden has an abundance of roses.}}
【用法說明】an abundance of + 名詞
【翻譯】這座花園裡有大量玫瑰。"
abundant,"{{tts en_US:abundant}}
【等級】Level 5
【翻譯】大量的；豐富的
【搭配詞】abundant resources / abundant evidence / abundant in
【例句】Fresh fruit is abundant in summer.
{{tts en_US:Fresh fruit is abundant in summer.}}
【用法說明】be abundant in / during
【翻譯】夏天新鮮水果很多。"
abuse,"{{tts en_US:abuse}}
【等級】Level 5
【翻譯】濫用；虐待
【搭配詞】abuse power / child abuse / drug abuse
【例句】He was arrested for abusing his power.
{{tts en_US:He was arrested for abusing his power.}}
【用法說明】abuse + 名詞（power / drugs / children）
【翻譯】他因濫用權力而被逮捕。"
academic,"{{tts en_US:academic}}
【等級】Level 4
【翻譯】學術的；學業的
【搭配詞】academic success / academic career / academic paper
【例句】She hopes to build an academic career.
{{tts en_US:She hopes to build an academic career.}}
【用法說明】academic 常描述學術相關事物
【翻譯】她希望建立學術生涯。"
